,Unnamed: 0,Time,Open,High,Low,Close,Volume,status
6934,6934,2021-10-18 16:00:00,61770.3,62044.5,60975.0,61811.0,8,1.0
6935,6935,2021-10-18 20:00:00,61305.5,62262.6,61072.8,62365.0,8,1.0
6936,6936,2021-10-19 00:00:00,61811.7,62914.3,61631.7,62479.6,8,1.0
6937,6937,2021-10-19 04:00:00,62365.5,62499.8,61712.0,62169.0,8,-1.0
6938,6938,2021-10-19 08:00:00,62479.8,62484.8,61875.2,63117.9,8,1.0
6939,6939,2021-10-19 12:00:00,62168.9,63213.0,61398.8,64048.0,8,1.0
6940,6940,2021-10-19 16:00:00,63118.5,64285.6,63001.5,64008.9,8,1.0
6941,6941,2021-10-19 20:00:00,64048.3,64412.0,63638.8,63985.6,8,-1.0
6942,6942,2021-10-20 00:00:00,64009.3,64134.8,63682.2,63982.7,8,-1.0
6943,6943,2021-10-20 04:00:00,63985.5,64182.2,63474.2,64327.2,8,1.0
6944,6944,2021-10-20 08:00:00,63981.7,64505.6,63687.7,66402.2,8,1.0
6945,6945,2021-10-20 12:00:00,64327.2,66923.5,64150.4,65927.1,8,1.0
6946,6946,2021-10-20 16:00:00,66403.5,66642.2,65609.8,65573.6,8,-1.0
6947,6947,2021-10-20 20:00:00,65881.2,66140.5,65476.1,64991.4,8,-1.0
6948,6948,2021-10-21 00:00:00,65576.2,65641.9,64093.5,65838.6,8,1.0
6949,6949,2021-10-21 04:00:00,64990.1,66019.7,64113.0,65002.2,8,1.0
6950,6950,2021-10-21 08:00:00,65839.4,66586.0,64119.0,62754.3,8,-1.0
6951,6951,2021-10-21 12:00:00,64996.1,65518.0,62033.9,62602.8,8,-1.0
6952,6952,2021-10-21 16:00:00,62754.5,63446.1,62330.3,62746.6,8,-1.0
6953,6953,2021-10-21 20:00:00,62670.5,63041.1,62033.8,62984.2,8,1.0
6954,6954,2021-10-22 00:00:00,62746.6,63272.9,62476.8,63523.1,8,1.0
6955,6955,2021-10-22 04:00:00,62983.2,63586.5,62457.2,63589.8,8,1.0
6956,6956,2021-10-22 08:00:00,63523.1,63671.8,62851.4,61101.8,8,-1.0
6957,6957,2021-10-22 12:00:00,63588.8,63653.2,59960.4,60661.2,8,-1.0
6958,6958,2021-10-22 16:00:00,61101.8,61212.8,60188.8,60319.1,8,-1.0
6959,6959,2021-10-22 20:00:00,60662.0,60887.6,60067.5,61751.0,2,1.0
6960,6960,2021-10-24 20:00:00,61089.0,61774.6,60592.6,62006.7,8,1.0
6961,6961,2021-10-25 00:00:00,61751.0,62165.7,61590.4,62663.4,8,1.0
6962,6962,2021-10-25 04:00:00,62006.7,62900.6,61743.4,62681.1,8,1.0
6963,6963,2021-10-25 08:00:00,62663.5,63112.9,62445.8,63550.9,8,1.0
6964,6964,2021-10-25 12:00:00,62681.1,63644.1,62546.7,62490.5,8,-1.0
6965,6965,2021-10-25 16:00:00,63551.4,63602.2,62479.0,63041.2,8,-1.0
6966,6966,2021-10-25 20:00:00,62522.1,63223.1,62499.1,62402.0,8,-1.0
6967,6967,2021-10-26 00:00:00,63041.6,63045.0,62226.9,62766.5,8,-1.0
6968,6968,2021-10-26 04:00:00,62402.0,63050.8,62148.2,62433.9,8,1.0
6969,6969,2021-10-26 08:00:00,62766.5,63016.4,62252.8,61990.0,8,-1.0
6970,6970,2021-10-26 12:00:00,62433.9,62716.8,61763.1,62030.2,8,-1.0
6971,6971,2021-10-26 16:00:00,61992.0,62530.1,61826.6,60625.3,8,-1.0
6972,6972,2021-10-26 20:00:00,62030.9,62030.9,59812.1,61143.0,8,-1.0
6973,6973,2021-10-27 00:00:00,60625.1,61419.8,60327.5,59181.1,8,-1.0
6974,6974,2021-10-27 04:00:00,61143.0,61333.6,58048.5,58992.1,8,-1.0
6975,6975,2021-10-27 08:00:00,59181.7,59191.4,58236.7,58841.5,8,-1.0
6976,6976,2021-10-27 12:00:00,58992.1,59376.5,58511.1,58865.1,8,-1.0
6977,6977,2021-10-27 16:00:00,58841.3,59550.8,58168.2,58222.7,8,-1.0
6978,6978,2021-10-27 20:00:00,58882.9,59046.7,58207.5,58756.7,8,-1.0
6979,6979,2021-10-28 00:00:00,58222.0,59180.3,58079.7,60521.5,8,1.0
6980,6980,2021-10-28 04:00:00,58757.9,60618.5,58664.2,61073.1,8,1.0
6981,6981,2021-10-28 08:00:00,60520.2,61239.9,60361.5,61136.7,8,1.0
6982,6982,2021-10-28 12:00:00,61073.2,61756.5,60921.9,61331.3,8,1.0
6983,6983,2021-10-28 16:00:00,61136.6,62398.9,57836.5,61336.5,8,1.0
6984,6984,2021-10-28 20:00:00,61289.7,61336.5,60139.0,61484.4,8,1.0
6985,6985,2021-10-29 00:00:00,61336.5,62003.0,61198.5,60886.1,8,-1.0
6986,6986,2021-10-29 04:00:00,61484.4,61533.1,60350.0,60913.0,8,-1.0
6987,6987,2021-10-29 08:00:00,60885.7,61369.8,60528.2,62563.6,8,1.0
6988,6988,2021-10-29 12:00:00,60912.5,62901.8,60711.9,62341.4,8,1.0
6989,6989,2021-10-29 16:00:00,62563.6,62649.3,61899.2,62302.5,8,-1.0
6990,6990,2021-10-29 20:00:00,62330.8,62444.9,62124.7,61550.0,2,-1.0
6991,6991,2021-10-31 20:00:00,60893.7,61657.7,60863.0,60485.2,8,-1.0
6992,6992,2021-11-01 00:00:00,61550.0,61717.0,59500.0,61899.6,8,1.0
6993,6993,2021-11-01 04:00:00,60485.2,62367.6,60267.0,61821.3,8,1.0
6994,6994,2021-11-01 08:00:00,61894.6,62422.8,61619.1,61007.5,8,-1.0
6995,6995,2021-11-01 12:00:00,61817.5,62029.6,61006.3,60630.3,8,-1.0
6996,6996,2021-11-01 16:00:00,61007.5,61430.4,60321.5,60928.3,8,-1.0
6997,6997,2021-11-01 20:00:00,60568.6,61362.5,60390.2,61402.5,8,1.0
6998,6998,2021-11-02 00:00:00,60927.5,61531.5,60738.9,61549.9,8,1.0
6999,6999,2021-11-02 04:00:00,61403.0,61798.2,61281.6,62990.2,8,1.0
7000,7000,2021-11-02 08:00:00,61549.9,63547.6,61475.6,63647.5,8,1.0
7001,7001,2021-11-02 12:00:00,62990.2,64231.4,62990.1,63061.7,8,1.0
7002,7002,2021-11-02 16:00:00,63647.5,63737.0,63029.2,63477.4,8,-1.0
7003,7003,2021-11-02 20:00:00,63063.4,63493.0,62594.2,62749.0,8,-1.0
7004,7004,2021-11-03 00:00:00,63477.4,63480.0,62727.9,62952.9,8,-1.0
7005,7005,2021-11-03 04:00:00,62749.0,63480.1,62741.6,62460.5,8,-1.0
7006,7006,2021-11-03 08:00:00,62952.9,63392.3,62244.3,62101.1,8,-1.0
7007,7007,2021-11-03 12:00:00,62461.4,62640.6,61563.9,62668.9,8,1.0
7008,7008,2021-11-03 16:00:00,62101.1,63304.3,60224.3,62792.0,8,1.0
7009,7009,2021-11-03 20:00:00,62707.9,63178.8,62707.4,62650.9,8,-1.0
7010,7010,2021-11-04 00:00:00,62791.1,62808.3,62195.2,61588.0,8,-1.0
7011,7011,2021-11-04 04:00:00,62651.5,62716.1,61559.1,61856.3,8,-1.0
7012,7012,2021-11-04 08:00:00,61589.3,61945.1,61255.3,61160.9,8,-1.0
7013,7013,2021-11-04 12:00:00,61856.0,62377.1,60776.9,61281.7,8,-1.0
7014,7014,2021-11-04 16:00:00,61160.9,61510.7,60668.9,60853.5,8,-1.0
7015,7015,2021-11-04 20:00:00,61315.1,61470.8,60808.5,62084.8,8,1.0
7016,7016,2021-11-05 00:00:00,60853.3,62297.6,60832.6,62168.8,8,1.0
7017,7017,2021-11-05 04:00:00,62084.8,62562.4,61889.0,61502.9,8,-1.0
7018,7018,2021-11-05 08:00:00,62168.8,62204.5,61163.0,60861.0,8,-1.0
7019,7019,2021-11-05 12:00:00,61504.1,61907.1,60733.8,60916.6,8,-1.0
7020,7020,2021-11-05 16:00:00,60861.0,61354.4,60721.1,61050.2,8,1.0
7021,7021,2021-11-05 20:00:00,60915.1,61172.3,60887.4,64976.7,2,1.0
7022,7022,2021-11-07 20:00:00,62633.9,64984.5,62632.5,65148.4,8,1.0
7023,7023,2021-11-08 00:00:00,64981.5,65584.8,64943.1,66201.4,8,1.0
7024,7024,2021-11-08 04:00:00,65148.4,66295.3,65085.9,65781.6,8,1.0
