,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Time,Open,High,Low,Close,Volume
371,371,2462,2462,2018-12-19 12:00:00,3766,3863,3683,3738,8
372,372,4513,4513,2020-04-13 16:00:00,6710,6783,6698,6771,141
373,373,576,576,2017-10-10 04:00:00,4799,4846,4757,4791,318
374,374,3008,3008,2019-04-25 04:00:00,5368,5373,5335,5367,16
375,375,2109,2109,2018-09-28 16:00:00,6590,6624,6477,6587,8
376,376,4092,4092,2020-01-06 12:00:00,7496,7546,7434,7468,127
377,377,6183,6183,2021-04-30 12:00:00,54682,57361,54441,56732,8
378,378,81,81,2017-06-09 08:00:00,2822,2835,2798,2830,454
379,379,97,97,2017-06-14 04:00:00,2757,2811,2709,2742,290
380,380,4549,4549,2020-04-21 16:00:00,6800,6897,6774,6839,181
381,381,2608,2608,2019-01-23 16:00:00,3512,3521,3462,3478,8
382,382,5086,5086,2020-08-25 04:00:00,11624,11642,11459,11523,8
383,383,787,787,2017-11-27 20:00:00,9587,9769,9552,9712,290
384,384,82,82,2017-06-09 12:00:00,2831,2860,2821,2828,435
385,385,2789,2789,2019-03-05 20:00:00,3777,3798,3753,3770,50
386,386,7835,7835,2022-05-10 16:00:00,31174,31788,30887,30956,8
387,387,2419,2419,2018-12-10 12:00:00,3412,3459,3317,3384,8
388,388,2703,2703,2019-02-14 00:00:00,3524,3527,3511,3523,8
389,389,4235,4235,2020-02-07 08:00:00,9695,9815,9661,9685,139
390,390,4889,4889,2020-07-09 08:00:00,9340,9377,9297,9374,35
391,391,4125,4125,2020-01-14 00:00:00,8212,8517,8212,8464,192
392,392,3697,3697,2019-10-03 00:00:00,8289,8331,8276,8296,37
393,393,5359,5359,2020-10-26 12:00:00,13127,13229,12807,12837,8
394,394,2959,2959,2019-04-15 00:00:00,5098,5131,5095,5125,8
395,395,6109,6109,2021-04-14 12:00:00,63871,64490,62362,63494,8
396,396,5378,5378,2020-10-29 16:00:00,13540,13632,13430,13474,8
397,397,5680,5680,2021-01-07 08:00:00,37235,38150,36927,38003,8
398,398,6134,6134,2021-04-20 12:00:00,55826,56482,54707,55784,8
399,399,4411,4411,2020-03-19 16:00:00,6145,6335,6058,6199,229
400,400,3543,3543,2019-08-28 08:00:00,10062,10144,10036,10098,48
401,401,6113,6113,2021-04-15 04:00:00,62929,63267,62488,62574,8
402,402,6000,6000,2021-03-21 20:00:00,57772,58096,56402,56552,8
403,403,2704,2704,2019-02-14 04:00:00,3523,3527,3498,3507,8
404,404,2994,2994,2019-04-22 20:00:00,5309,5347,5299,5322,11
405,405,5161,5161,2020-09-10 16:00:00,10315,10364,10234,10284,8
406,406,3414,3414,2019-07-29 20:00:00,9456,9475,9372,9459,78
407,407,7842,7842,2022-05-11 20:00:00,28279,30112,27660,29656,8
408,408,7431,7431,2022-02-08 04:00:00,44349,45430,43862,44003,8
409,409,4254,4254,2020-02-12 12:00:00,10297,10382,10220,10315,135
410,410,7522,7522,2022-02-28 20:00:00,41876,44125,41466,43523,8
411,411,7832,7832,2022-05-10 04:00:00,31179,32607,31178,31704,8
412,412,7870,7870,2022-05-18 08:00:00,29793,29964,29439,29467,8
413,413,5974,5974,2021-03-15 16:00:00,56249,56902,55478,56364,8
414,414,3081,3081,2019-05-13 08:00:00,6992,7292,6990,7283,14
415,415,4007,4007,2019-12-13 16:00:00,7219,7233,7166,7198,65
416,416,3268,3268,2019-06-25 12:00:00,11146,11379,11126,11274,75
417,417,1511,1511,2018-05-14 00:00:00,8608,8638,8278,8310,264
418,418,4788,4788,2020-06-16 12:00:00,9512,9534,9348,9435,95
419,419,1122,1122,2018-02-12 20:00:00,8805,8927,8690,8869,137
420,420,1278,1278,2018-03-20 04:00:00,8423,8499,8284,8326,120
421,421,7704,7704,2022-04-11 12:00:00,41104,41227,40510,40731,8
422,422,881,881,2017-12-19 00:00:00,18760,18979,18629,18832,380
423,423,5918,5918,2021-03-02 16:00:00,47516,48037,47048,47502,8
424,424,6464,6464,2021-07-02 20:00:00,33092,33456,33053,33428,2
425,425,5697,5697,2021-01-12 00:00:00,34913,35409,33673,35221,8
426,426,7387,7387,2022-01-28 04:00:00,37182,37455,36385,36613,8
427,427,1404,1404,2018-04-18 04:00:00,7850,8085,7810,8012,145
428,428,4840,4840,2020-06-29 04:00:00,9050,9070,9001,9029,74
429,429,3682,3682,2019-09-30 12:00:00,7953,8303,7953,8227,153
430,430,1685,1685,2018-06-22 00:00:00,6656,6657,6553,6595,131
431,431,599,599,2017-10-16 00:00:00,5708,5712,5603,5608,486
432,432,2446,2446,2018-12-16 20:00:00,3142,3159,3123,3154,6
433,433,5486,5486,2020-11-24 00:00:00,18355,18526,18286,18439,8
434,434,41,41,2017-05-31 16:00:00,2297,2335,2273,2285,751
435,435,7316,7316,2022-01-12 16:00:00,43573,43948,43448,43785,8
436,436,7826,7826,2022-05-09 04:00:00,33603,33749,33132,33626,8
437,437,4059,4059,2019-12-27 04:00:00,7123,7146,7094,7120,38
438,438,2321,2321,2018-11-16 20:00:00,5448,5448,5380,5386,2
439,439,7619,7619,2022-03-22 16:00:00,42550,42731,42234,42588,8
